Name,Tagline,Upvotes,Comments,Tags
Startup Stash,A curated directory of 400 resources & tools for startups,9323,321,"Web App, Tech, Startup Lessons"
Wordware,Your tool for building AI agents with natural language,7843,136,"Software Engineering, Developer Tools, Artificial Intelligence"
Slack,"Be less busy. Real-time messaging, archiving & search.",7340,300,"Android, iOS, Mac, Web App, Productivity, Messaging, API, Developer Tools, Tech"
Startup Pitch Decks,Real decks from real startups that raised over $400M,5649,153,"Web App, Productivity, Marketing, Venture Capital, Tech"
Pexels 2.0,The best free stock photos in one place,4669,122,"Web App, Design Tools, Photography, Tech"
Notion 2.0,"The all-in-one workspace - notes, tasks, wikis, & databases",4506,315,"Productivity, Notes, Spreadsheets, Notion"
remove.bg,Remove the background of any image 100% automatically,4506,428,"Design Tools, Productivity, Photography"
Good Email Copy,Email copy from great companies.,4140,114,"Web App, Email, Writing, Tech"
Coolors,Super fast color schemes generator for cool designers,3948,123,"iOS, Web App, Design Tools, Tech"
Hunter,Find all the email addresses related to a domain,3871,183,"Web App, Email, Hiring, Sales, Email Marketing, Marketing, Growth Hacking, Tech"
